customer_id,gender,age,region,postal_code,plan,monthly_fee,data_usage_gb,join_date,tenure_months,churn
C0096,M,63.0,경기,33421,LTE,79000.0,17.3,2021-11-19,37,No
C0097,M,21.0,대구,17567,5G,45000.0,18.8,2020-11-12,50,No
C0098,F,29.0,서울,43668,LTE,89000.0,8.8,2022-07-02,30,Yes
C0099,F,33.0,경기,34427,5G,55000.0,10.9,2022-12-14,24,No
C0100,M,34.0,경기,02865,3G,35000.0,25.2,2023-09-16,15,No
C0101,F,69.0,서울,48857,5G,45000.0,24.4,2021-03-14,46,No
C0102,M,58.0,기타,26284,5G,29000.0,17.6,2024-02-09,10,No
C0103,F,35.0,부산,45087,LTE,29000.0,32.3,2020-10-06,51,No
C0104,M,68.0,서울,57424,3G,45000.0,25.9,2020-02-12,59,No
C0105,F,44.0,기타,39467,5G,55000.0,23.9,2021-01-28,47,No
C0106,F,44.0,대구,43310,5G,79000.0,2.7,2021-11-23,37,No
C0107,F,41.0,서울,17042,LTE,29000.0,17.5,2022-08-29,28,No
C0108,F,26.0,대구,15972,LTE,79000.0,15.2,2023-07-24,17,No
C0109,M,66.0,서울,27144,5G,35000.0,35.1,2020-03-25,58,No
C0110,F,19.0,기타,54724,LTE,29000.0,11.7,2020-08-29,52,No
C0111,M,27.0,부산,34023,LTE,65000.0,14.3,2024-02-21,10,No
C0112,F,30.0,부산,22925,LTE,79000.0,5.0,2021-05-29,43,No
C0113,F,33.0,서울,50114,LTE,65000.0,5.9,2020-04-28,56,No
C0114,M,25.0,대구,54759,LTE,29000.0,35.2,2024-05-25,7,Yes
C0115,F,19.0,서울,57858,5G,29000.0,18.7,2021-06-16,43,No
C0116,F,53.0,서울,19833,3G,45000.0,43.3,2024-05-24,7,Yes
C0117,M,68.0,서울,45706,LTE,55000.0,11.5,2024-01-13,11,No
C0118,M,25.0,부산,38189,LTE,89000.0,3.4,2023-12-18,12,No
C0119,M,34.0,서울,29284,5G,45000.0,10.3,2022-03-09,34,No
C0120,M,44.0,기타,26006,5G,35000.0,8.9,2023-05-16,19,No
C0121,M,66.0,부산,08216,LTE,89000.0,21.9,2024-04-05,9,Yes
C0122,F,54.0,서울,18313,5G,35000.0,21.3,2020-06-22,55,No
C0123,F,58.0,서울,35628,3G,29000.0,19.4,2019-03-17,70,No
C0124,M,48.0,서울,56852,5G,45000.0,52.2,2020-10-03,51,No
C0125,F,40.0,경기,55578,LTE,45000.0,31.1,2022-06-27,30,No
C0126,F,29.0,대구,12818,LTE,65000.0,,2021-12-30,36,No
C0127,M,63.0,서울,43796,5G,89000.0,26.5,2019-06-11,67,No
C0128,F,60.0,대구,06343,5G,89000.0,13.6,2022-01-26,35,No
C0129,F,20.0,서울,43525,LTE,45000.0,11.3,2019-12-15,61,No
C0130,F,55.0,대구,22541,LTE,89000.0,33.7,2021-10-08,39,No
C0131,F,23.0,기타,29339,5G,65000.0,6.0,2022-02-25,34,Yes
C0132,F,56.0,부산,46210,LTE,29000.0,25.3,2022-06-27,30,No
C0133,M,61.0,부산,27767,3G,89000.0,22.6,2021-04-05,45,Yes
C0134,F,25.0,대구,51867,5G,29000.0,5.9,2021-03-27,45,No
C0135,F,41.0,서울,34615,5G,65000.0,2.6,2022-09-19,27,No
C0136,M,25.0,서울,63919,5G,79000.0,12.5,2023-02-07,23,Yes
C0137,F,47.0,서울,41208,5G,35000.0,28.6,2023-06-04,19,No
C0138,M,66.0,경기,19670,5G,35000.0,17.4,2020-10-29,50,No
C0139,M,23.0,부산,49842,5G,55000.0,34.4,2021-04-28,44,No
C0140,M,39.0,경기,26699,LTE,89000.0,16.6,2020-10-23,51,No
C0141,F,68.0,대구,34652,5G,35000.0,35.9,2021-11-21,37,No
C0142,M,34.0,서울,09619,3G,65000.0,8.1,2019-09-12,64,No
C0143,M,25.0,부산,08518,5G,55000.0,19.3,2021-05-10,44,No
C0144,M,43.0,서울,37216,5G,29000.0,9.7,2020-01-13,60,No
C0145,F,44.0,서울,12761,LTE,65000.0,12.2,2021-11-30,37,No
C0146,F,52.0,부산,63846,LTE,79000.0,,2023-08-29,16,No
C0147,M,35.0,기타,54906,5G,65000.0,17.4,2024-05-24,7,Yes
C0148,M,67.0,경기,45154,5G,35000.0,7.2,2021-06-11,43,No
C0149,F,,서울,47285,5G,35000.0,18.7,2019-04-23,69,Yes
C0150,M,33.0,경기,38497,LTE,45000.0,13.8,2020-03-31,57,No
C0151,F,67.0,서울,04798,5G,55000.0,3.6,2019-07-29,66,No
C0152,M,66.0,대구,25718,5G,55000.0,2.1,2023-02-27,22,Yes
C0153,F,44.0,부산,32235,5G,35000.0,28.7,2024-05-23,7,Yes
C0154,M,20.0,서울,58662,5G,55000.0,11.7,2022-01-12,36,No
C0155,M,49.0,서울,14827,3G,45000.0,3.2,2019-12-20,61,No
C0156,F,47.0,서울,32305,LTE,65000.0,39.9,2019-02-12,71,Yes
C0157,M,26.0,기타,22675,5G,79000.0,20.0,2024-05-06,7,Yes
C0158,F,51.0,경기,09464,5G,65000.0,17.0,2020-09-24,51,No
C0159,F,61.0,부산,07490,5G,29000.0,6.6,2019-08-13,65,No
C0160,F,24.0,경기,24018,5G,89000.0,3.6,2019-12-21,61,No
C0161,F,55.0,경기,06192,LTE,29000.0,15.3,2020-05-25,56,No
C0162,F,26.0,서울,05231,LTE,89000.0,13.1,2022-08-04,29,No
C0163,M,57.0,기타,23104,3G,29000.0,5.0,2023-11-19,13,Yes
C0164,M,40.0,서울,13724,3G,55000.0,4.9,2020-07-04,54,Yes
C0165,M,19.0,경기,35952,3G,29000.0,4.6,2022-10-06,27,Yes
C0166,F,68.0,부산,02113,3G,29000.0,4.5,2019-05-10,68,No
C0167,M,27.0,경기,20013,5G,65000.0,7.9,2019-01-21,72,No
C0168,M,49.0,기타,29556,5G,79000.0,17.0,2019-04-20,69,No
C0169,M,28.0,서울,61677,5G,29000.0,19.2,2024-01-21,11,No
C0170,M,66.0,경기,40975,LTE,89000.0,12.9,2022-03-09,34,No
C0171,M,56.0,경기,56484,5G,45000.0,14.7,2023-05-30,19,No
C0172,M,60.0,경기,22627,LTE,45000.0,19.8,2019-02-13,71,No
C0173,F,41.0,서울,29331,LTE,45000.0,1.5,2019-02-14,71,No
C0174,F,42.0,서울,27483,LTE,55000.0,15.6,2023-08-25,16,No
C0175,F,51.0,서울,56904,5G,35000.0,32.0,2019-07-25,66,No
C0176,M,59.0,서울,61429,5G,45000.0,11.5,2019-11-07,62,No
C0177,F,62.0,경기,61626,5G,35000.0,27.9,2021-11-03,38,No
C0178,M,,경기,48372,LTE,29000.0,11.6,2022-04-28,32,No
C0179,F,52.0,경기,32695,LTE,45000.0,20.8,2020-04-02,57,No
C0180,F,24.0,경기,35073,LTE,65000.0,16.8,2021-06-08,43,No
C0181,F,33.0,경기,62771,5G,79000.0,4.6,2022-09-11,28,Yes
C0182,M,61.0,서울,18925,5G,45000.0,5.7,2021-06-04,43,No
C0183,M,31.0,경기,22842,5G,45000.0,35.9,2021-02-04,47,No
C0184,F,,서울,57509,LTE,79000.0,24.0,2019-05-24,68,Yes
C0185,M,42.0,서울,25337,LTE,65000.0,12.3,2021-06-22,42,No
C0186,M,30.0,경기,15810,5G,79000.0,11.0,2023-05-25,19,Yes
C0187,M,36.0,경기,36309,3G,89000.0,6.6,2022-06-07,31,No
C0188,M,,서울,21496,5G,79000.0,17.8,2023-11-22,13,No
C0189,M,58.0,경기,57124,LTE,89000.0,7.2,2019-09-10,64,No
C0190,M,49.0,경기,58270,5G,45000.0,9.9,2019-01-23,72,No
C0191,F,66.0,부산,20278,5G,45000.0,7.8,2022-01-01,36,Yes
C0192,F,63.0,경기,34360,LTE,45000.0,23.0,2019-12-24,61,No
C0193,F,57.0,부산,62990,5G,35000.0,,2022-04-02,33,No
C0194,M,49.0,서울,47765,5G,79000.0,14.8,2023-12-13,12,Yes
C0195,F,33.0,부산,14584,5G,79000.0,4.6,2020-11-05,50,No
C0196,M,40.0,경기,38216,5G,79000.0,7.8,2022-01-03,36,No
C0197,M,25.0,경기,40052,LTE,35000.0,15.1,2022-09-25,27,No
C0198,M,38.0,경기,42166,LTE,55000.0,2.7,2019-10-28,63,No
C0199,M,66.0,경기,02575,LTE,35000.0,11.2,2023-11-30,13,No
C0200,F,40.0,경기,19860,5G,89000.0,13.2,2020-02-10,59,No
C0201,M,24.0,부산,54839,LTE,35000.0,4.1,2023-06-05,19,No
C0202,F,52.0,대구,16206,5G,35000.0,27.0,2022-08-12,29,No
C0203,M,68.0,기타,19880,5G,55000.0,17.2,2019-10-09,63,No
C0204,F,,경기,21316,5G,89000.0,11.8,2022-12-20,24,No
C0205,M,32.0,경기,12175,3G,89000.0,7.3,2020-01-28,59,No
C0206,M,42.0,부산,10792,LTE,29000.0,2.6,2022-04-13,33,No
C0207,F,46.0,서울,22861,LTE,45000.0,25.6,2024-04-03,9,No
C0208,F,31.0,대구,56080,LTE,35000.0,9.2,2024-03-21,9,Yes
C0209,M,32.0,경기,01096,5G,45000.0,3.4,2023-10-09,14,No
C0210,F,31.0,서울,18844,LTE,55000.0,7.1,2021-09-15,40,No
C0211,M,69.0,서울,04819,LTE,35000.0,18.6,2022-01-24,35,No
C0212,F,57.0,대구,36373,5G,29000.0,16.0,2020-08-23,53,No
C0213,F,,서울,16787,5G,55000.0,5.1,2024-01-16,11,Yes
C0214,M,60.0,서울,50893,5G,29000.0,28.8,2021-08-12,41,No
C0215,F,67.0,서울,37855,3G,35000.0,3.4,2023-03-24,21,No
C0216,M,24.0,서울,50380,5G,29000.0,32.9,2020-12-20,49,No
C0217,M,63.0,서울,40998,3G,29000.0,15.5,2023-01-20,23,No
C0218,M,,부산,28617,5G,55000.0,9.7,2020-03-24,58,Yes
C0219,M,43.0,서울,55240,LTE,79000.0,10.9,2023-01-07,24,No
C0220,F,49.0,대구,31003,5G,79000.0,14.2,2019-04-02,70,No
C0221,M,37.0,대구,60844,5G,29000.0,19.6,2019-07-29,66,No
C0222,M,26.0,경기,63665,5G,29000.0,2.1,2020-12-05,49,No
C0223,F,28.0,서울,38107,5G,45000.0,,2021-08-22,40,No
C0224,M,61.0,경기,43498,3G,65000.0,13.8,2022-11-23,25,No
C0225,F,35.0,서울,17106,5G,79000.0,29.5,2020-12-19,49,Yes
C0226,M,34.0,경기,52321,LTE,79000.0,28.8,2019-02-06,71,No
C0227,F,66.0,기타,43309,5G,45000.0,37.4,2020-10-12,51,No
C0228,F,26.0,기타,57859,5G,35000.0,27.9,2021-05-28,43,Yes
C0229,F,65.0,부산,17821,LTE,29000.0,6.5,2021-12-23,36,No
C0230,M,65.0,서울,50617,5G,35000.0,13.2,2022-07-12,30,No
C0231,M,49.0,부산,30626,3G,29000.0,28.0,2020-05-10,56,Yes
C0232,F,27.0,부산,12666,LTE,89000.0,26.1,2022-05-05,32,No
C0233,M,26.0,경기,11785,LTE,35000.0,11.3,2022-06-17,30,No
C0234,F,33.0,경기,36416,5G,79000.0,19.2,2023-04-03,21,No
C0235,M,48.0,서울,21125,5G,55000.0,9.1,2021-11-10,38,Yes
C0236,F,26.0,서울,07419,3G,55000.0,3.1,2023-06-10,19,No
C0237,F,42.0,경기,27909,5G,55000.0,12.1,2020-03-19,58,No
C0238,M,24.0,서울,42133,5G,79000.0,11.6,2022-11-24,25,No
C0239,M,46.0,서울,21093,5G,29000.0,8.8,2019-04-02,70,No
C0240,F,20.0,대구,61186,LTE,29000.0,19.7,2019-07-25,66,No
C0241,M,55.0,기타,50110,LTE,45000.0,11.0,2023-09-26,15,No
C0242,F,21.0,경기,33301,LTE,45000.0,17.8,2021-08-08,41,No
C0243,M,28.0,대구,59882,LTE,55000.0,22.7,2022-05-26,31,No
C0244,F,27.0,기타,28276,5G,79000.0,56.3,2022-04-21,32,Yes
C0245,F,61.0,서울,09798,3G,65000.0,12.3,2022-10-21,26,No
C0246,M,21.0,경기,03258,5G,35000.0,29.8,2020-05-06,56,No
C0247,F,,경기,60094,LTE,45000.0,15.8,2019-12-23,61,No
C0248,M,49.0,서울,61464,5G,79000.0,16.5,2019-03-27,70,No
C0249,F,45.0,부산,47572,3G,35000.0,12.4,2023-09-26,15,No
C0250,M,53.0,경기,07489,5G,55000.0,14.8,2020-03-23,58,Yes
C0251,M,59.0,경기,19499,5G,55000.0,11.1,2022-02-24,34,Yes
C0252,M,39.0,서울,03587,5G,79000.0,26.4,2021-06-28,42,No
C0253,M,61.0,서울,04228,5G,79000.0,7.2,2019-11-21,62,No
C0254,M,35.0,기타,16501,5G,55000.0,,2021-04-07,45,No
C0255,F,69.0,서울,37044,LTE,45000.0,8.5,2019-06-16,67,No
C0256,M,44.0,서울,05128,5G,45000.0,7.8,2019-12-20,61,No
C0257,F,56.0,서울,63028,3G,45000.0,8.5,2019-10-07,63,No
C0258,M,,경기,29671,5G,35000.0,11.9,2023-07-07,18,No
C0259,M,59.0,경기,17622,LTE,65000.0,8.5,2022-02-08,35,No
C0260,F,62.0,경기,33513,5G,35000.0,11.8,2024-01-26,11,Yes
C0261,F,46.0,서울,50778,LTE,65000.0,8.6,2021-05-21,44,No
C0262,M,21.0,서울,20691,LTE,79000.0,18.0,2020-02-07,59,Yes
C0263,M,44.0,대구,03993,5G,89000.0,56.0,2022-05-02,32,Yes
C0264,F,28.0,경기,04210,3G,29000.0,15.5,2024-02-03,11,No
C0265,F,64.0,경기,54674,5G,79000.0,8.9,2021-12-01,37,No
C0266,F,31.0,부산,08030,5G,29000.0,0.9,2019-02-05,71,No
C0267,M,30.0,부산,41039,LTE,45000.0,44.2,2020-08-30,52,Yes
C0268,M,31.0,서울,25223,LTE,35000.0,16.2,2024-01-24,11,No
C0269,F,51.0,경기,49982,5G,35000.0,11.7,2021-11-02,38,No
C0270,F,48.0,경기,04813,5G,35000.0,0.9,2024-03-18,9,No
C0271,M,67.0,서울,57560,LTE,29000.0,12.2,2021-10-15,39,Yes
C0272,M,40.0,대구,44985,LTE,79000.0,14.7,2019-01-25,72,No
C0273,M,33.0,경기,29304,3G,29000.0,8.6,2023-10-13,14,No
C0274,F,21.0,부산,14042,LTE,45000.0,3.7,2023-03-07,22,No
C0275,M,19.0,대구,62558,LTE,65000.0,3.5,2022-12-01,25,No
C0276,M,38.0,경기,20030,5G,89000.0,44.7,2024-04-24,8,Yes
C0277,M,66.0,기타,31901,3G,79000.0,14.4,2020-01-28,59,No
C0278,F,,경기,25829,5G,29000.0,8.6,2023-12-17,12,No
C0279,M,64.0,대구,15524,LTE,89000.0,13.7,2020-04-10,57,No
C0280,M,24.0,서울,27245,5G,65000.0,13.0,2024-04-25,8,Yes
C0281,M,23.0,경기,10543,LTE,35000.0,3.3,2020-01-18,60,No
C0282,M,61.0,경기,01104,LTE,55000.0,25.2,2022-01-05,36,No
C0283,F,24.0,서울,19269,LTE,89000.0,11.5,2023-04-28,20,No
C0284,M,21.0,경기,08060,3G,45000.0,14.5,2019-06-06,67,No
C0285,M,39.0,기타,27130,5G,35000.0,35.2,2019-05-14,68,No
C0286,F,66.0,경기,55353,LTE,89000.0,3.9,2023-08-27,16,No
C0287,M,54.0,서울,11241,5G,89000.0,6.8,2019-05-01,69,No
C0288,F,24.0,서울,01077,5G,89000.0,16.8,2022-05-12,32,No
C0289,F,61.0,서울,07998,5G,89000.0,24.8,2024-02-20,10,No
C0290,M,62.0,서울,33014,5G,89000.0,7.9,2022-05-14,32,No
C0291,F,59.0,기타,18314,5G,55000.0,8.3,2021-08-20,40,No
C0292,M,65.0,경기,31838,LTE,35000.0,20.9,2021-04-14,45,No
C0293,F,31.0,서울,02842,LTE,65000.0,53.1,2022-06-30,30,Yes
C0294,M,68.0,경기,21984,LTE,35000.0,14.1,2022-02-17,34,No
C0295,F,35.0,서울,26838,5G,55000.0,6.8,2021-09-30,39,No
C0296,F,59.0,서울,28173,5G,65000.0,5.1,2019-11-04,62,No
C0297,F,48.0,부산,35722,5G,89000.0,11.9,2022-08-18,28,No
C0298,M,58.0,경기,50175,LTE,45000.0,24.1,2023-01-19,23,Yes
C0299,M,51.0,기타,30435,LTE,35000.0,68.5,2022-11-18,25,No
C0300,M,51.0,경기,53994,5G,79000.0,10.4,2019-05-31,68,Yes
