date,store,qty,amount
2024-05-12,강남점,17,204000
2024-05-12,홍대점,10,120000
2024-05-12,부산점,29,435000
2024-05-13,강남점,22,264000
2024-05-13,홍대점,13,156000
2024-05-13,부산점,17,204000
2024-05-14,강남점,19,342000
2024-05-14,홍대점,24,432000
2024-05-14,부산점,25,300000
2024-05-15,강남점,25,450000
2024-05-15,홍대점,17,204000
2024-05-15,부산점,16,240000
2024-05-16,강남점,18,216000
2024-05-16,홍대점,26,390000
2024-05-16,부산점,20,360000
2024-05-17,강남점,25,450000
2024-05-17,홍대점,13,195000
2024-05-17,부산점,22,330000
2024-05-18,강남점,21,378000
2024-05-18,홍대점,18,216000
2024-05-18,부산점,14,210000
2024-05-19,강남점,18,216000
2024-05-19,홍대점,18,324000
2024-05-19,부산점,20,300000
2024-05-20,강남점,22,330000
2024-05-20,홍대점,18,270000
2024-05-20,부산점,21,252000
2024-05-21,강남점,18,216000
2024-05-21,홍대점,22,396000
2024-05-21,부산점,19,228000
2024-05-22,강남점,15,180000
2024-05-22,홍대점,19,228000
2024-05-22,부산점,27,486000
2024-05-23,강남점,30,360000
2024-05-23,홍대점,21,378000
2024-05-23,부산점,22,330000
2024-05-24,강남점,29,522000
2024-05-24,홍대점,17,255000
2024-05-24,부산점,28,336000
2024-05-25,강남점,13,195000
2024-05-25,홍대점,22,330000
2024-05-25,부산점,25,300000
2024-05-26,강남점,25,375000
2024-05-26,홍대점,16,192000
2024-05-26,부산점,13,234000
2024-05-27,강남점,14,252000
2024-05-27,홍대점,10,120000
2024-05-27,부산점,16,240000
2024-05-28,강남점,24,360000
2024-05-28,홍대점,18,216000
2024-05-28,부산점,19,285000
2024-05-29,강남점,20,240000
2024-05-29,홍대점,25,300000
2024-05-29,부산점,16,288000
2024-05-30,강남점,21,315000
2024-05-30,홍대점,17,306000
2024-05-30,부산점,21,315000
2024-05-31,강남점,15,270000
2024-05-31,홍대점,18,324000
2024-05-31,부산점,18,270000
2024-06-01,강남점,24,360000
2024-06-01,홍대점,25,375000
2024-06-01,부산점,21,378000
2024-06-02,강남점,27,405000
2024-06-02,홍대점,24,360000
2024-06-02,부산점,24,288000
2024-06-03,강남점,17,306000
2024-06-03,홍대점,24,360000
2024-06-03,부산점,17,204000
2024-06-04,강남점,19,285000
2024-06-04,홍대점,19,285000
2024-06-04,부산점,19,228000
2024-06-05,강남점,21,378000
2024-06-05,홍대점,21,378000
2024-06-05,부산점,23,414000
2024-06-06,강남점,23,345000
2024-06-06,홍대점,20,240000
2024-06-06,부산점,21,252000
2024-06-07,강남점,24,432000
2024-06-07,홍대점,25,300000
2024-06-07,부산점,21,378000
2024-06-08,강남점,22,396000
2024-06-08,홍대점,21,252000
2024-06-08,부산점,24,432000
2024-06-09,강남점,15,180000
2024-06-09,홍대점,24,360000
2024-06-09,부산점,26,390000
2024-06-10,강남점,18,324000
2024-06-10,홍대점,19,285000
2024-06-10,부산점,15,270000
2024-06-11,강남점,20,300000
2024-06-11,홍대점,15,270000
2024-06-11,부산점,24,432000
2024-06-12,강남점,21,378000
2024-06-12,홍대점,17,255000
2024-06-12,부산점,21,315000
2024-06-13,강남점,16,288000
2024-06-13,홍대점,20,360000
2024-06-13,부산점,21,378000
2024-06-14,강남점,20,300000
2024-06-14,홍대점,24,432000
2024-06-14,부산점,28,504000
2024-06-15,강남점,20,360000
2024-06-15,홍대점,20,240000
2024-06-15,부산점,20,300000
2024-06-16,강남점,17,306000
2024-06-16,홍대점,14,252000
2024-06-16,부산점,19,342000
2024-06-17,강남점,18,216000
2024-06-17,홍대점,16,192000
2024-06-17,부산점,12,216000
2024-06-18,강남점,24,432000
2024-06-18,홍대점,24,288000
2024-06-18,부산점,20,300000
2024-06-19,강남점,17,306000
2024-06-19,홍대점,18,216000
2024-06-19,부산점,13,234000
2024-06-20,강남점,19,228000
2024-06-20,홍대점,14,168000
2024-06-20,부산점,16,288000
2024-06-21,강남점,16,240000
2024-06-21,홍대점,18,270000
2024-06-21,부산점,26,468000
2024-06-22,강남점,23,276000
2024-06-22,홍대점,15,225000
2024-06-22,부산점,17,255000
2024-06-23,강남점,25,450000
2024-06-23,홍대점,21,252000
2024-06-23,부산점,22,330000
2024-06-24,강남점,15,225000
2024-06-24,홍대점,19,285000
2024-06-24,부산점,16,288000
2024-06-25,강남점,20,300000
2024-06-25,홍대점,15,270000
2024-06-25,부산점,24,432000
2024-06-26,강남점,18,324000
2024-06-26,홍대점,26,468000
2024-06-26,부산점,16,240000
2024-06-27,강남점,16,192000
2024-06-27,홍대점,12,216000
2024-06-27,부산점,19,285000
2024-06-28,강남점,11,132000
2024-06-28,홍대점,22,264000
2024-06-28,부산점,19,228000
2024-06-29,강남점,14,252000
2024-06-29,홍대점,21,252000
2024-06-29,부산점,21,378000
2024-06-30,강남점,18,270000
2024-06-30,홍대점,26,312000
2024-06-30,부산점,21,315000
2024-07-01,강남점,15,270000
2024-07-01,홍대점,20,360000
2024-07-01,부산점,13,195000
2024-07-02,강남점,30,450000
2024-07-02,홍대점,18,216000
2024-07-02,부산점,21,252000
2024-07-03,강남점,20,300000
2024-07-03,홍대점,19,285000
2024-07-03,부산점,10,120000
2024-07-04,강남점,19,342000
2024-07-04,홍대점,16,240000
2024-07-04,부산점,22,264000
2024-07-05,강남점,15,270000
2024-07-05,홍대점,22,264000
2024-07-05,부산점,25,450000
2024-07-06,강남점,20,240000
2024-07-06,홍대점,20,300000
2024-07-06,부산점,19,285000
2024-07-07,강남점,16,288000
2024-07-07,홍대점,27,324000
2024-07-07,부산점,21,378000
2024-07-08,강남점,23,345000
2024-07-08,홍대점,19,228000
2024-07-08,부산점,20,300000
2024-07-09,강남점,23,414000
2024-07-09,홍대점,26,390000
2024-07-09,부산점,16,192000
2024-07-10,강남점,20,300000
2024-07-10,홍대점,24,360000
2024-07-10,부산점,18,216000
2024-07-11,강남점,17,204000
2024-07-11,홍대점,18,324000
2024-07-11,부산점,16,192000
2024-07-12,강남점,24,360000
2024-07-12,홍대점,18,324000
2024-07-12,부산점,31,372000
2024-07-13,강남점,20,300000
2024-07-13,홍대점,32,384000
2024-07-13,부산점,16,288000
2024-07-14,강남점,14,210000
2024-07-14,홍대점,23,414000
2024-07-14,부산점,18,324000
2024-07-15,강남점,15,225000
2024-07-15,홍대점,22,264000
2024-07-15,부산점,24,360000
2024-07-16,강남점,17,204000
2024-07-16,홍대점,16,240000
2024-07-16,부산점,15,180000
2024-07-17,강남점,15,270000
2024-07-17,홍대점,24,360000
2024-07-17,부산점,14,168000
2024-07-18,강남점,11,198000
2024-07-18,홍대점,18,324000
2024-07-18,부산점,17,255000
2024-07-19,강남점,25,300000
2024-07-19,홍대점,22,330000
2024-07-19,부산점,21,315000
2024-07-20,강남점,18,324000
2024-07-20,홍대점,22,264000
2024-07-20,부산점,22,396000
2024-07-21,강남점,20,240000
2024-07-21,홍대점,19,228000
2024-07-21,부산점,17,255000
2024-07-22,강남점,22,264000
2024-07-22,홍대점,20,300000
2024-07-22,부산점,23,345000
2024-07-23,강남점,17,204000
2024-07-23,홍대점,17,306000
2024-07-23,부산점,18,216000
2024-07-24,강남점,16,288000
2024-07-24,홍대점,19,342000
2024-07-24,부산점,12,180000
2024-07-25,강남점,18,216000
2024-07-25,홍대점,18,324000
2024-07-25,부산점,16,192000
2024-07-26,강남점,19,228000
2024-07-26,홍대점,16,288000
2024-07-26,부산점,19,285000
2024-07-27,강남점,30,540000
2024-07-27,홍대점,19,228000
2024-07-27,부산점,27,405000
2024-07-28,강남점,16,288000
2024-07-28,홍대점,22,396000
2024-07-28,부산점,20,300000
2024-07-29,강남점,22,396000
2024-07-29,홍대점,19,228000
2024-07-29,부산점,15,225000
2024-07-30,강남점,20,240000
2024-07-30,홍대점,22,396000
2024-07-30,부산점,26,468000
2024-07-31,강남점,25,450000
2024-07-31,홍대점,20,360000
2024-07-31,부산점,18,216000
2024-08-01,강남점,17,255000
2024-08-01,홍대점,21,378000
2024-08-01,부산점,19,228000
2024-08-02,강남점,26,390000
2024-08-02,홍대점,28,504000
2024-08-02,부산점,21,315000
2024-08-03,강남점,25,450000
2024-08-03,홍대점,27,405000
2024-08-03,부산점,21,315000
2024-08-04,강남점,17,255000
2024-08-04,홍대점,22,330000
2024-08-04,부산점,13,234000
2024-08-05,강남점,15,270000
2024-08-05,홍대점,21,252000
2024-08-05,부산점,26,468000
2024-08-06,강남점,13,195000
2024-08-06,홍대점,17,255000
2024-08-06,부산점,23,276000
2024-08-07,강남점,30,450000
2024-08-07,홍대점,19,285000
2024-08-07,부산점,14,210000
2024-08-08,강남점,17,204000
2024-08-08,홍대점,13,234000
2024-08-08,부산점,15,225000
2024-08-09,강남점,14,210000
2024-08-09,홍대점,15,180000
2024-08-09,부산점,16,192000
2024-08-10,강남점,14,252000
2024-08-10,홍대점,22,264000
2024-08-10,부산점,19,342000
2024-08-11,강남점,16,288000
2024-08-11,홍대점,12,180000
2024-08-11,부산점,19,342000
2024-08-12,강남점,18,270000
2024-08-12,홍대점,19,342000
2024-08-12,부산점,15,180000
2024-08-13,강남점,18,270000
2024-08-13,홍대점,16,240000
2024-08-13,부산점,15,270000
2024-08-14,강남점,15,180000
2024-08-14,홍대점,21,378000
2024-08-14,부산점,21,252000
2024-08-15,강남점,19,228000
2024-08-15,홍대점,23,345000
2024-08-15,부산점,15,180000
2024-08-16,강남점,30,450000
2024-08-16,홍대점,22,396000
2024-08-16,부산점,27,486000
2024-08-17,강남점,18,216000
2024-08-17,홍대점,21,315000
2024-08-17,부산점,18,270000
2024-08-18,강남점,25,300000
2024-08-18,홍대점,25,375000
2024-08-18,부산점,24,360000
2024-08-19,강남점,28,504000
2024-08-19,홍대점,17,204000
2024-08-19,부산점,17,204000
2024-08-20,강남점,22,396000
2024-08-20,홍대점,19,342000
2024-08-20,부산점,25,300000
2024-08-21,강남점,30,360000
2024-08-21,홍대점,23,345000
2024-08-21,부산점,21,378000
2024-08-22,강남점,24,288000
2024-08-22,홍대점,15,180000
2024-08-22,부산점,22,396000
2024-08-23,강남점,15,270000
2024-08-23,홍대점,19,342000
2024-08-23,부산점,21,378000
2024-08-24,강남점,19,342000
2024-08-24,홍대점,17,204000
2024-08-24,부산점,17,204000
2024-08-25,강남점,28,336000
2024-08-25,홍대점,22,264000
2024-08-25,부산점,15,270000
2024-08-26,강남점,15,225000
2024-08-26,홍대점,17,204000
2024-08-26,부산점,22,264000
2024-08-27,강남점,27,324000
2024-08-27,홍대점,22,330000
2024-08-27,부산점,13,195000
2024-08-28,강남점,20,240000
2024-08-28,홍대점,20,360000
2024-08-28,부산점,17,204000
2024-08-29,강남점,26,390000
2024-08-29,홍대점,15,225000
2024-08-29,부산점,20,300000
2024-08-30,강남점,27,486000
2024-08-30,홍대점,22,396000
2024-08-30,부산점,20,240000
2024-08-31,강남점,24,360000
2024-08-31,홍대점,20,240000
2024-08-31,부산점,18,270000
2024-09-01,강남점,16,240000
2024-09-01,홍대점,23,345000
2024-09-01,부산점,19,228000
2024-09-02,강남점,20,240000
2024-09-02,홍대점,20,240000
2024-09-02,부산점,12,144000
2024-09-03,강남점,16,240000
2024-09-03,홍대점,17,306000
2024-09-03,부산점,19,228000
2024-09-04,강남점,16,192000
2024-09-04,홍대점,19,285000
2024-09-04,부산점,17,306000
2024-09-05,강남점,21,252000
2024-09-05,홍대점,27,324000
2024-09-05,부산점,14,210000
2024-09-06,강남점,20,300000
2024-09-06,홍대점,24,432000
2024-09-06,부산점,14,168000
2024-09-07,강남점,20,240000
2024-09-07,홍대점,23,345000
2024-09-07,부산점,25,375000
2024-09-08,강남점,20,360000
2024-09-08,홍대점,26,390000
2024-09-08,부산점,13,195000
2024-09-09,강남점,24,288000
2024-09-09,홍대점,21,252000
2024-09-09,부산점,23,414000
2024-09-10,강남점,11,132000
2024-09-10,홍대점,16,240000
2024-09-10,부산점,18,324000
2024-09-11,강남점,14,252000
2024-09-11,홍대점,15,180000
2024-09-11,부산점,22,264000
2024-09-12,강남점,15,270000
2024-09-12,홍대점,26,468000
2024-09-12,부산점,15,180000
2024-09-13,강남점,24,360000
2024-09-13,홍대점,15,180000
2024-09-13,부산점,26,468000
2024-09-14,강남점,22,396000
2024-09-14,홍대점,25,300000
2024-09-14,부산점,20,300000
2024-09-15,강남점,17,255000
2024-09-15,홍대점,24,288000
2024-09-15,부산점,14,168000
2024-09-16,강남점,20,360000
2024-09-16,홍대점,12,180000
2024-09-16,부산점,26,312000
2024-09-17,강남점,25,300000
2024-09-17,홍대점,20,300000
2024-09-17,부산점,20,360000
2024-09-18,강남점,26,390000
2024-09-18,홍대점,26,468000
2024-09-18,부산점,23,345000
2024-09-19,강남점,18,324000
2024-09-19,홍대점,15,270000
2024-09-19,부산점,21,252000
2024-09-20,강남점,11,132000
2024-09-20,홍대점,21,378000
2024-09-20,부산점,19,342000
2024-09-21,강남점,21,252000
2024-09-21,홍대점,23,345000
2024-09-21,부산점,18,324000
2024-09-22,강남점,14,252000
2024-09-22,홍대점,18,216000
2024-09-22,부산점,22,396000
2024-09-23,강남점,24,360000
2024-09-23,홍대점,25,450000
2024-09-23,부산점,19,228000
2024-09-24,강남점,21,315000
2024-09-24,홍대점,11,132000
2024-09-24,부산점,21,315000
2024-09-25,강남점,23,276000
2024-09-25,홍대점,28,420000
2024-09-25,부산점,29,522000
2024-09-26,강남점,20,300000
2024-09-26,홍대점,12,144000
2024-09-26,부산점,25,375000
2024-09-27,강남점,14,210000
2024-09-27,홍대점,16,288000
2024-09-27,부산점,26,312000
2024-09-28,강남점,25,300000
2024-09-28,홍대점,12,180000
2024-09-28,부산점,17,306000
2024-09-29,강남점,23,345000
2024-09-29,홍대점,20,240000
2024-09-29,부산점,14,168000
2024-09-30,강남점,21,378000
2024-09-30,홍대점,19,342000
2024-09-30,부산점,14,168000
2024-10-01,강남점,15,180000
2024-10-01,홍대점,15,180000
2024-10-01,부산점,17,255000
2024-10-02,강남점,20,360000
2024-10-02,홍대점,27,324000
2024-10-02,부산점,15,270000
2024-10-03,강남점,21,252000
2024-10-03,홍대점,24,432000
2024-10-03,부산점,22,264000
2024-10-04,강남점,19,342000
2024-10-04,홍대점,24,360000
2024-10-04,부산점,23,276000
2024-10-05,강남점,17,204000
2024-10-05,홍대점,21,378000
2024-10-05,부산점,18,270000
2024-10-06,강남점,15,225000
2024-10-06,홍대점,15,270000
2024-10-06,부산점,24,360000
2024-10-07,강남점,20,300000
2024-10-07,홍대점,15,225000
2024-10-07,부산점,16,192000
2024-10-08,강남점,18,216000
2024-10-08,홍대점,14,168000
2024-10-08,부산점,18,270000
2024-10-09,강남점,21,315000
2024-10-09,홍대점,16,288000
2024-10-09,부산점,17,306000
2024-10-10,강남점,17,204000
2024-10-10,홍대점,27,486000
2024-10-10,부산점,19,342000
2024-10-11,강남점,20,300000
2024-10-11,홍대점,22,330000
2024-10-11,부산점,18,216000
