고객ID,성별,나이,지역,우편번호,요금제,월요금,데이터사용량,가입일,가입개월수,이탈여부
C0135,M,31.0,경기,13397,LTE,79000.0,14.8,2022-01-07,36,Yes
C0136,M,44.0,기타,50958,3G,79000.0,38.1,2021-04-06,45,No
C0137,F,34.0,경기,05327,5G,29000.0,12.0,2021-08-24,40,No
C0138,M,53.0,경기,54412,LTE,45000.0,11.2,2023-07-06,18,No
C0139,F,59.0,경기,49543,5G,79000.0,7.1,2024-04-14,8,Yes
C0140,F,52.0,경기,63672,LTE,55000.0,55.2,2020-05-28,55,Yes
C0141,F,19.0,서울,43079,LTE,35000.0,14.7,2022-08-31,28,No
C0142,M,69.0,부산,55992,LTE,65000.0,,2024-04-23,8,No
C0143,F,20.0,대구,08467,LTE,35000.0,7.9,2019-01-16,72,No
C0144,F,69.0,서울,57062,5G,29000.0,11.6,2023-04-19,20,No
C0145,M,20.0,서울,11100,LTE,65000.0,16.5,2021-09-20,39,No
C0146,F,45.0,대구,20803,LTE,55000.0,2.9,2024-04-19,8,No
C0147,F,24.0,서울,09076,LTE,79000.0,6.0,2022-03-02,34,No
C0148,F,23.0,경기,26304,5G,45000.0,8.3,2023-08-04,17,No
C0149,M,53.0,경기,48186,5G,79000.0,17.8,2019-11-29,61,No
C0150,M,56.0,부산,17889,5G,45000.0,54.7,2019-10-12,63,No
C0151,F,25.0,서울,52797,5G,79000.0,15.1,2024-01-28,11,No
C0152,M,68.0,부산,39196,5G,29000.0,7.4,2021-11-18,37,No
C0153,F,35.0,경기,40621,5G,29000.0,7.5,2022-01-21,35,No
C0154,F,,경기,60143,LTE,79000.0,13.8,2019-12-06,61,No
C0155,F,34.0,서울,28205,5G,79000.0,12.2,2020-03-29,57,No
C0156,M,42.0,경기,22712,LTE,89000.0,14.2,2023-06-25,18,No
C0157,F,28.0,경기,63655,LTE,45000.0,11.2,2020-08-29,52,Yes
C0158,M,40.0,서울,36090,LTE,29000.0,13.1,2022-03-14,34,No
C0159,F,29.0,서울,39719,5G,89000.0,12.6,2020-09-25,51,No
C0160,M,21.0,서울,19666,5G,65000.0,15.1,2020-06-10,55,Yes
C0161,M,37.0,서울,14572,LTE,35000.0,15.2,2019-11-29,61,No
C0162,F,53.0,서울,11697,3G,79000.0,5.5,2024-02-03,11,Yes
C0163,F,57.0,기타,15083,5G,89000.0,3.0,2024-02-24,10,Yes
C0164,F,37.0,경기,13296,LTE,35000.0,42.1,2019-08-19,65,No
C0165,M,35.0,대구,48042,LTE,79000.0,,2020-12-07,49,Yes
C0166,F,59.0,기타,04650,LTE,79000.0,7.9,2022-02-01,35,No
C0167,F,53.0,서울,40650,5G,55000.0,4.6,2021-02-05,47,No
C0168,F,61.0,부산,60804,LTE,65000.0,12.4,2022-12-13,24,Yes
C0169,F,65.0,대구,49229,5G,35000.0,15.7,2020-06-04,55,No
C0170,M,60.0,경기,26381,3G,89000.0,19.2,2019-04-28,69,No
C0171,M,66.0,경기,04742,5G,89000.0,14.1,2020-11-04,50,No
C0172,F,40.0,경기,53548,5G,89000.0,10.5,2022-04-10,33,No
C0173,F,39.0,서울,01198,3G,79000.0,8.4,2019-12-28,61,No
C0174,M,35.0,경기,43923,5G,29000.0,12.0,2023-06-20,18,No
C0175,M,30.0,기타,43269,5G,45000.0,10.8,2019-01-25,72,No
C0176,F,57.0,기타,13090,5G,55000.0,42.2,2019-05-16,68,No
C0177,F,55.0,서울,47611,5G,89000.0,20.2,2021-10-14,39,No
C0178,M,59.0,부산,12053,5G,55000.0,19.1,2021-10-21,38,No
C0179,F,27.0,서울,15215,5G,55000.0,16.5,2020-08-12,53,No
C0180,F,44.0,기타,52154,LTE,35000.0,8.3,2020-06-01,55,No
C0181,M,,서울,62684,LTE,79000.0,15.4,2019-05-20,68,No
C0182,M,,기타,17676,5G,45000.0,14.6,2022-08-18,28,No
C0183,F,32.0,대구,59043,LTE,29000.0,13.8,2021-01-28,47,No
C0184,M,26.0,서울,58536,5G,89000.0,17.0,2019-08-26,65,No
C0185,M,48.0,서울,49471,3G,35000.0,14.5,2021-03-10,46,No
C0186,M,63.0,대구,09823,5G,29000.0,15.0,2024-02-18,10,No
C0187,F,65.0,서울,19863,LTE,29000.0,14.5,2020-06-06,55,No
C0188,M,23.0,경기,43694,5G,55000.0,39.0,2023-11-25,13,Yes
C0189,M,35.0,기타,63949,LTE,29000.0,4.9,2020-06-01,55,No
C0190,M,26.0,경기,52311,5G,79000.0,,2020-01-07,60,No
C0191,F,34.0,경기,27476,LTE,55000.0,9.8,2020-06-05,55,No
C0192,F,46.0,경기,15820,5G,45000.0,6.9,2020-10-08,51,No
C0193,M,33.0,서울,61500,3G,29000.0,18.7,2019-08-30,65,No
C0194,M,22.0,기타,18400,LTE,55000.0,,2022-03-21,33,No
C0195,M,45.0,서울,22559,LTE,35000.0,17.4,2020-10-28,50,No
C0196,F,21.0,서울,61763,LTE,89000.0,13.0,2022-12-07,25,No
C0197,F,30.0,서울,36384,3G,45000.0,17.4,2021-09-08,40,No
C0198,M,19.0,기타,17669,5G,55000.0,12.0,2021-06-04,43,No
C0199,M,23.0,서울,01336,5G,29000.0,12.8,2021-07-30,41,Yes
C0200,F,,대구,28086,5G,29000.0,7.6,2019-11-09,62,No
C0201,F,62.0,부산,63117,5G,35000.0,13.6,2022-11-26,25,No
C0202,M,58.0,대구,28248,LTE,29000.0,12.2,2019-07-28,66,No
C0203,M,,기타,45069,3G,79000.0,6.8,2022-12-14,24,No
C0204,F,20.0,대구,16940,3G,89000.0,11.8,2024-06-22,6,Yes
C0205,F,36.0,기타,49862,LTE,89000.0,50.8,2023-03-08,22,No
C0206,F,52.0,서울,49874,LTE,35000.0,19.2,2021-06-29,42,No
C0207,M,57.0,부산,39322,LTE,79000.0,15.6,2020-09-20,52,No
C0208,M,60.0,경기,49625,3G,55000.0,12.0,2023-10-12,14,No
C0209,F,36.0,경기,37465,5G,29000.0,13.0,2020-05-29,55,No
C0210,F,27.0,대구,24833,LTE,29000.0,12.2,2021-08-22,40,No
C0211,F,20.0,기타,47485,LTE,55000.0,11.2,2023-03-22,21,No
C0212,M,26.0,부산,53612,5G,45000.0,7.7,2024-01-19,11,No
C0213,F,22.0,경기,53985,5G,29000.0,11.4,2024-01-16,11,No
C0214,M,62.0,경기,14423,3G,89000.0,9.0,2019-06-25,67,No
C0215,M,32.0,경기,43624,3G,79000.0,7.0,2023-12-02,13,No
C0216,F,60.0,경기,01271,3G,55000.0,14.0,2019-08-17,65,No
C0217,F,47.0,경기,37035,LTE,89000.0,13.6,2022-03-14,34,Yes
C0218,F,46.0,서울,36982,5G,89000.0,4.9,2024-02-03,11,Yes
C0219,F,42.0,서울,23899,5G,89000.0,11.5,2022-08-02,29,No
C0220,M,60.0,부산,63625,LTE,35000.0,16.0,2024-03-09,9,Yes
C0221,F,21.0,경기,56625,LTE,89000.0,16.2,2020-11-19,50,No
C0222,M,,기타,03434,LTE,55000.0,16.1,2020-09-21,52,No
C0223,M,40.0,경기,14156,LTE,79000.0,12.2,2020-10-14,51,No
C0224,F,39.0,서울,14103,5G,89000.0,,2020-12-11,49,Yes
C0225,F,46.0,서울,57545,LTE,35000.0,7.7,2022-09-27,27,No
C0226,F,56.0,서울,33691,5G,55000.0,13.4,2021-06-23,42,No
C0227,M,48.0,기타,46918,5G,29000.0,68.3,2023-01-14,23,No
C0228,F,32.0,서울,52025,5G,35000.0,17.1,2021-04-12,45,No
C0229,M,35.0,경기,49359,5G,45000.0,16.4,2020-09-07,52,No
C0230,F,57.0,기타,06609,LTE,79000.0,11.5,2020-01-16,60,Yes
C0231,F,29.0,기타,09840,5G,89000.0,7.0,2022-01-07,36,No
C0232,F,44.0,서울,25899,5G,45000.0,10.7,2023-12-02,13,No
C0233,M,46.0,서울,22317,LTE,45000.0,12.9,2023-09-14,15,No
C0234,M,57.0,서울,48065,LTE,55000.0,11.2,2020-05-21,56,Yes
C0235,M,55.0,서울,10842,5G,89000.0,9.7,2021-08-13,41,No
C0236,F,42.0,서울,24406,5G,89000.0,13.0,2022-11-11,26,No
C0237,F,34.0,경기,15903,5G,35000.0,10.0,2022-05-09,32,No
C0238,M,,기타,12896,LTE,35000.0,9.5,2019-05-15,68,No
C0239,F,39.0,경기,11886,5G,65000.0,36.6,2022-03-28,33,No
C0240,F,30.0,경기,13316,5G,45000.0,10.4,2019-03-19,70,No
C0241,M,50.0,서울,36554,5G,35000.0,13.0,2019-08-21,65,No
C0242,M,29.0,대구,26832,LTE,29000.0,13.1,2022-07-31,29,Yes
C0243,F,52.0,경기,28422,5G,45000.0,7.4,2019-07-25,66,No
C0244,F,57.0,대구,31202,LTE,45000.0,10.1,2020-11-09,50,No
C0245,M,68.0,기타,47686,5G,55000.0,17.8,2022-03-22,33,No
C0246,F,25.0,서울,55293,LTE,35000.0,7.4,2022-08-03,29,No
C0247,F,57.0,서울,34164,5G,79000.0,3.5,2021-06-10,43,Yes
C0248,F,23.0,서울,41461,5G,65000.0,,2019-07-08,66,No
C0249,F,36.0,경기,47528,5G,55000.0,12.1,2023-05-18,19,No
C0250,F,27.0,기타,44494,LTE,35000.0,12.1,2024-03-14,9,No
C0251,M,27.0,경기,09458,LTE,55000.0,11.5,2023-11-13,13,No
C0252,M,27.0,부산,62927,5G,65000.0,16.9,2023-02-06,23,No
C0253,M,,경기,11382,5G,45000.0,1.3,2021-03-15,46,No
C0254,F,60.0,서울,26945,3G,35000.0,13.6,2023-10-19,14,Yes
C0255,M,22.0,서울,42113,LTE,55000.0,18.2,2021-09-03,40,Yes
C0256,M,39.0,부산,26410,5G,45000.0,7.5,2019-09-30,63,No
C0257,F,54.0,부산,16317,5G,45000.0,10.5,2023-08-29,16,No
C0258,M,69.0,경기,59169,LTE,45000.0,9.0,2020-10-02,51,Yes
C0259,M,62.0,서울,05506,LTE,45000.0,53.5,2024-02-21,10,Yes
C0260,M,25.0,부산,16489,LTE,79000.0,10.7,2021-01-06,48,No
C0261,M,69.0,서울,63557,3G,55000.0,17.7,2023-10-05,15,Yes
C0262,M,52.0,기타,46977,5G,55000.0,19.3,2021-12-10,37,No
C0263,F,28.0,서울,06479,5G,65000.0,10.7,2021-07-23,41,No
C0264,M,41.0,서울,48537,5G,45000.0,19.6,2020-08-16,53,No
C0265,M,65.0,경기,62078,5G,29000.0,12.1,2023-07-30,17,No
C0266,F,39.0,경기,07160,5G,79000.0,19.0,2019-05-02,69,No
C0267,M,28.0,경기,27084,5G,29000.0,11.6,2021-07-26,41,No
C0268,F,63.0,경기,30498,5G,65000.0,12.5,2021-01-07,48,No
C0269,F,67.0,기타,09253,LTE,35000.0,13.5,2021-12-22,36,No
C0270,F,68.0,경기,13635,5G,35000.0,51.6,2020-05-24,56,No
C0271,M,67.0,경기,11946,5G,29000.0,43.5,2022-08-22,28,No
C0272,M,63.0,경기,12678,LTE,89000.0,9.2,2021-02-10,47,No
C0273,F,42.0,서울,26421,LTE,55000.0,49.3,2020-01-12,60,No
C0274,M,28.0,경기,30220,LTE,45000.0,10.6,2020-01-29,59,No
C0275,F,50.0,서울,15992,LTE,79000.0,10.0,2022-10-25,26,Yes
C0276,M,30.0,경기,19233,LTE,29000.0,15.6,2020-06-07,55,No
C0277,M,43.0,서울,13110,5G,55000.0,12.1,2020-09-06,52,No
C0278,F,52.0,기타,51151,5G,55000.0,13.1,2022-06-07,31,No
C0279,F,67.0,경기,14340,LTE,55000.0,12.1,2020-10-21,51,No
C0280,F,33.0,대구,58178,5G,29000.0,13.3,2021-02-15,47,Yes
C0281,F,31.0,경기,34947,5G,89000.0,50.0,2020-05-03,56,No
C0282,M,56.0,서울,51570,5G,35000.0,4.3,2020-11-21,50,No
C0283,F,19.0,대구,41092,5G,65000.0,14.7,2022-10-17,26,No
C0284,F,47.0,경기,17759,5G,79000.0,8.1,2021-12-03,37,No
C0285,M,57.0,부산,38885,5G,45000.0,6.2,2024-06-18,6,Yes
C0286,M,47.0,경기,18270,LTE,29000.0,11.8,2023-03-24,21,No
C0287,F,38.0,경기,08469,3G,45000.0,37.1,2019-02-03,71,No
C0288,M,61.0,대구,17047,5G,79000.0,9.2,2021-01-27,47,No
C0289,F,37.0,경기,18365,3G,89000.0,15.3,2020-08-02,53,Yes
C0290,M,55.0,서울,09507,5G,89000.0,6.6,2022-03-21,33,No
C0291,M,42.0,부산,02487,3G,35000.0,10.4,2020-06-15,55,No
C0292,M,20.0,부산,60458,3G,65000.0,47.9,2024-04-16,8,No
C0293,M,,기타,33345,5G,35000.0,11.8,2020-08-21,53,No
C0294,F,21.0,경기,26328,LTE,65000.0,53.9,2021-11-09,38,No
C0295,F,66.0,경기,59586,3G,45000.0,8.0,2019-09-03,64,No
C0296,F,49.0,대구,15155,3G,65000.0,14.9,2023-12-25,12,No
C0297,F,37.0,경기,26380,3G,65000.0,12.3,2023-12-29,12,No
C0298,M,43.0,부산,54339,LTE,89000.0,4.4,2023-05-07,20,Yes
C0299,F,50.0,경기,40817,5G,55000.0,4.2,2020-12-04,49,No
C0300,F,32.0,서울,26148,LTE,45000.0,12.0,2019-04-28,69,No
